Item ID,Item No.,Item Barcode,Name,Category,Supplier,Cost (Vat),Price,Image,Date Stamp
6986d5d3,550050494,5011987050389,Helix Ultra 0W-40 D. 1 ลิตร,ดีเซล,Shell,391.94,536,Item_Images/5011987050389.Image.070919.png,31/12/2563 18:57:00
cc269a02,550053340,5011987066533,Helix Power 0W-40 D. 6 ลิตร,ดีเซล,Shell,2263.19,3220,Item_Images/5011987066533.Image.070745.jpg,31/12/2563 18:57:00
258b7860,550053329,5011987066557,Helix Power 0W-40 D. 1 ลิตร,ดีเซล,Shell,433.33,617,Item_Images/5011987066557.Image.070739.jpg,31/12/2563 18:57:00
11653c91,550053335,5011987066823,Helix Hx7 10W-30 D. 1 ลิตร,ดีเซล,Shell,184.94,240,Item_Images/5011987066823.Image.054938.124956.jpg,31/12/2563 18:57:00
133476c2,550053337,5011987066847,Helix Hx7 10W-30 D. 6 ลิตร,ดีเซล,Shell,964.56,1245,Item_Images/5011987066847.Image.054957.125013.jpg,31/12/2563 18:58:00
3203c4d2,550045648,5011987858954,Helix Hx5 15W-40 D. 1 ลิตร,ดีเซล,Shell,145.75,181,Item_Images/5011987858954.Image.054838.124947.jpg,31/12/2563 18:58:00
fe812006,550045662,5011987858992,Helix Hx3 20W-50 D. 6 ลิตร,ดีเซล,Shell,674.31,828,Item_Images/5011987858992.Image.054609.130954.jpeg,31/12/2563 18:58:00
b1124b0a,550045663,5011987859005,Helix Hx3 20W-50 D. 1 ลิตร,ดีเซล,Shell,124.15,168,Item_Images/5011987859005.Image.054604.131810.jpg,31/12/2563 18:58:00
1fcc03c2,550045703,5011987859104,Helix Hx8 5W-30 D. 1 ลิตร,ดีเซล,Shell,231.07,320,Item_Images/5011987859104.Image.071324.jpg,31/12/2563 18:57:00
fe01a7cd,,5011987862487,Helix HM D. 1 ลิตร,ดีเซล,Shell,184.94,222,Item_Images/5011987862487.Image.055117.125149.jpg,31/12/2563 19:03:00
e7b4f6e6,,5011987862562,Helix HM D. 6 ลิตร,ดีเซล,Shell,964.56,1140,Item_Images/5011987862562.Image.055133.125049.jpg,31/12/2563 19:03:00
bfa252a4,550045644,5011987858930,Helix Hx3 40 B.1 ลิตร,เบนซิน,Shell,113.86,138,Item_Images/5011987858930.Image.054629.130759.jpg,30/12/2563 21:16:00
2ecf5fbe,550045642,5011987858923,Helix Hx3 40 B.4 ลิตร,เบนซิน,Shell,439.69,507,Item_Images/5011987858923.Image.054705.130820.jpg,30/12/2563 21:16:00
40dd6bb0,550021466,8850459010738,Helix Hx3 G 20W-50 B.1 ลิตร,เบนซิน,Shell,129.23,175,Item_Images/8850459010738.Image.054743.130852.jpg,30/12/2563 21:16:00
d7dab763,550020934,8850459010745,Helix Hx3 G 20W-50 B.4 ลิตร,เบนซิน,Shell,490.73,645,Item_Images/8850459010745.Image.054758.142309.jpg,30/12/2563 21:16:00
e2d4cbbb,550051459,5011987054936,Helix Hx5 15W-40 B.1 ลิตร,เบนซิน,Shell,156.71,201,Item_Images/5011987054936.Image.054817.142704.jpg,30/12/2563 21:14:00
e90cd092,550051844,5011987054967,Helix Hx5 15W-40 B. 4 ลิตร,เบนซิน,Shell,592.83,732,Item_Images/5011987054967.Image.054813.142324.jpg,30/12/2563 21:14:00
ccbc1bee,550051840,5011987055018,Helix Hx7 5W-40 B. 1 ลิตร,เบนซิน,Shell,218.56,290,Item_Images/5011987055018.Image.054901.142754.jpg,30/12/2563 21:12:00
2a6d2505,550051454,5011987055032,Helix Hx7 5W-40 B. 4 ลิตร,เบนซิน,Shell,830.42,1100,Item_Images/5011987055032.Image.054933.142339.jpg,30/12/2563 21:12:00
826b7ce4,550021468,8850459010752,Helix Hx7 G 10W-40 B.1 ลิตร,เบนซิน,Shell,218.56,290,Item_Images/8850459010752.Image.055202.130650.jpg,30/12/2563 21:14:00
b6094033,550021467,8850459010769,Helix Hx7 G 10W-40 B. 4 ลิตร,เบนซิน,Shell,830.42,1100,Item_Images/8850459010769.Image.071145.jpg,30/12/2563 21:14:00
290e8be7,550051465,5011987055049,Helix Hx7 SN 10w-30 4 ลิตร,เบนซิน,Shell,830.42,1100,Item_Images/5011987055049.Image.055241.142814.jpg,3/2/2564 12:44:00
1cbbfb65,550051464,5011987041158,Helix Hx7 SN 10W-30 B.1 ลิตร,เบนซิน,Shell,218.56,290,Item_Images/5011987041158.Image.071200.jpg,30/12/2563 21:13:00
00d06378,550051457,5011987055094,Helix Hx8 5W-40 B. 1 ลิตร,เบนซิน,Shell,287.56,420,Item_Images/5011987055094.Image.071257.jpg,30/12/2563 21:07:00
74d98cdb,550051842,5011987056909,Helix Hx8 5W-40 B. 4 ลิตร,เบนซิน,Shell,1072.37,1565,Item_Images/5011987056909.Image.071417.jpg,30/12/2563 21:06:00
ad3cc995,550051852,5011987057074,Helix Hx8 SN 0W-20 B. 1 ลิตร,เบนซิน,Shell,208.41,315,Item_Images/5011987057074.Image.071049.jpg,30/12/2563 21:11:00
63b868e5,550051853,5011987057104,Helix Hx8 SN 0W-20 B. 3 ลิตร,เบนซิน,Shell,591.86,885,Item_Images/5011987057104.Image.071109.jpg,30/12/2563 21:12:00
a2c13724,550053332,5011987066502,Helix Power 0W-40 B. 1 ลิตร,เบนซิน,Shell,504.57,784,Item_Images/5011987066502.Image.070647.jpg,30/12/2563 21:00:00
bd7869c3,550053333,5011987066489,Helix Power 0W-40 B. 4 ลิตร,เบนซิน,Shell,1961.17,2988,Item_Images/5011987066489.Image.070709.jpg,30/12/2563 20:54:00
56aff29a,550051462,5011987055124,Helix Ultra 0W-40 B. 1 ลิตร,เบนซิน,Shell,454.44,681,Item_Images/5011987055124.Image.070829.png,30/12/2563 21:01:00
4bf09131,550051463,5011987055148,Helix Ultra 0W-40 B. 4 ลิตร,เบนซิน,Shell,1764.83,2598,Item_Images/5011987055148.Image.070850.jpg,30/12/2563 20:59:00
6f29c450,550051451,5011987049451,Helix Ultra SN 0W-20 B. 1 ลิตร,เบนซิน,Shell,454.44,681,Item_Images/5011987049451.Image.070951.png,30/12/2563 21:04:00
78038d94,550051452,5011987055186,Helix Ultra SN 0W-20 B. 4 ลิตร,เบนซิน,Shell,1764.83,2598,Item_Images/5011987055186.Image.071019.jpg,30/12/2563 21:05:00
5b715900,550044641,5011987023277,Rimula R1 5 ลิตร,ริมูล่า,Shell,556.97,636,Item_Images/5011987023277.Image.060347.130911.jpg,31/12/2563 19:05:00
101ba7bb,550044532,5011987023307,Rimula R1 1 ลิตร,ริมูล่า,Shell,121.21,144,Item_Images/5011987023307.Image.060351.125257.jpg,31/12/2563 19:05:00
